
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/03/05	1529.30	1566.07	1529.30	1560.08	18763659	12438813696.00
2002/03/06	1564.69	1594.67	1563.92	1569.21	21051786	16214353920.00
2002/03/07	1569.17	1613.26	1569.07	1613.00	22018019	16694921216.00
2002/03/08	1622.87	1645.29	1611.23	1640.26	33084344	23828011008.00
2002/03/11	1643.59	1664.52	1632.61	1664.09	36350757	21287872512.00
2002/03/12	1665.24	1672.04	1641.58	1643.69	30771491	22291021824.00
2002/03/13	1636.94	1655.63	1621.80	1623.43	19757242	15787238400.00
2002/03/14	1621.08	1665.79	1621.08	1665.15	16495211	12866097152.00
2002/03/15	1671.82	1676.51	1620.56	1620.98	17542374	15303352320.00
2002/03/18	1641.43	1657.68	1610.99	1623.88	16323120	11684117504.00
2002/03/19	1624.32	1665.62	1624.29	1665.36	17211982	14494296064.00
2002/03/20	1673.27	1686.10	1664.37	1682.51	26220677	20311537664.00
2002/03/21	1686.95	1693.87	1675.24	1685.02	18358168	14749020160.00
2002/03/22	1684.07	1684.46	1659.52	1669.69	13586649	11142368256.00
2002/03/25	1667.85	1677.05	1663.40	1675.29	11101753	9664671744.00
2002/03/26	1674.70	1675.21	1641.91	1649.48	13766940	10288309248.00
2002/03/27	1646.68	1655.18	1635.82	1654.23	9183093	7816613376.00
2002/03/28	1653.98	1666.52	1645.34	1650.67	9549387	9032369152.00
2002/03/29	1648.09	1648.09	1596.25	1603.91	15007479	12098888704.00
2002/04/01	1598.03	1609.92	1589.41	1608.51	9246430	7113985024.00
2002/04/02	1608.52	1610.73	1575.97	1582.88	10704743	7913959424.00
2002/04/03	1582.74	1603.80	1582.67	1594.51	9056892	6710523904.00
2002/04/04	1595.02	1643.54	1583.63	1641.70	13272935	9569176576.00
2002/04/05	1650.50	1657.09	1628.55	1634.64	13270351	10183405568.00
2002/04/08	1633.83	1643.68	1631.07	1640.65	7840527	6698720768.00
2002/04/09	1641.85	1671.86	1640.69	1667.52	18754811	16931502080.00
2002/04/10	1670.80	1677.94	1663.47	1677.66	14493789	12817204224.00
2002/04/11	1679.34	1680.30	1649.27	1649.53	11766517	9992079360.00
2002/04/12	1648.45	1664.42	1648.45	1658.98	11237848	8892155904.00
2002/04/15	1660.57	1664.52	1638.64	1649.50	10513432	7538033664.00
2002/04/16	1647.51	1654.74	1635.75	1640.29	7547729	6515857920.00
2002/04/17	1641.72	1649.43	1630.23	1644.40	9050303	6295121920.00
2002/04/18	1644.15	1646.25	1626.03	1628.14	9560300	7689959424.00
2002/04/19	1625.25	1635.53	1603.96	1635.17	10622505	8564050944.00
2002/04/22	1633.64	1637.19	1619.16	1627.48	6609467	5641934336.00
2002/04/23	1626.63	1634.86	1621.87	1624.55	6396279	5265225728.00
2002/04/24	1623.47	1626.39	1609.20	1611.05	6859556	5270202368.00
2002/04/25	1609.94	1616.76	1603.64	1615.92	5910058	5069208576.00
2002/04/26	1615.52	1643.15	1615.52	1640.59	9105042	7497190912.00
2002/04/29	1643.55	1667.16	1640.56	1665.81	12737221	11100216320.00
2002/04/30	1668.31	1673.75	1657.82	1667.75	11275344	10837830656.00
2002/05/08	1669.87	1670.92	1651.69	1652.37	5335522	5236771840.00
2002/05/09	1648.46	1659.25	1646.82	1650.58	6538651	6052170752.00
2002/05/10	1650.91	1652.29	1636.86	1638.20	6997410	6503625216.00
2002/05/13	1634.90	1634.92	1618.46	1623.94	6777464	6262998016.00
2002/05/14	1622.33	1629.88	1613.55	1616.23	6308345	6205410304.00
2002/05/15	1614.90	1618.14	1597.92	1598.89	7813738	6845129728.00
2002/05/16	1592.24	1592.24	1546.94	1549.50	10527005	8446470656.00
2002/05/17	1549.08	1570.15	1540.58	1567.50	8445255	7875442688.00
2002/05/20	1564.97	1564.98	1529.35	1541.53	6012966	5071495168.00
2002/05/21	1575.02	1599.11	1564.55	1588.11	12498980	10427694080.00
2002/05/22	1590.79	1591.03	1563.16	1564.49	7702538	6120364544.00
2002/05/23	1571.07	1585.74	1568.10	1571.61	9149114	6934202368.00
2002/05/24	1572.94	1574.13	1544.42	1549.47	6374777	5225715200.00
2002/05/27	1555.04	1562.63	1545.62	1555.05	4682231	3788624128.00
2002/05/28	1557.62	1569.41	1557.23	1558.52	4680657	4089558016.00
2002/05/29	1558.13	1558.15	1520.13	1524.81	6605708	5077518848.00
2002/05/30	1524.22	1530.77	1506.54	1523.52	6713476	5400517120.00
2002/05/31	1523.01	1532.03	1513.26	1515.73	4850440	4124154880.00
2002/06/03	1510.25	1510.26	1480.08	1483.35	6233553	5158199808.00
2002/06/04	1484.01	1498.05	1474.36	1490.51	5546371	4391160832.00
2002/06/05	1491.07	1491.07	1460.48	1462.00	5416041	4207618816.00
2002/06/06	1458.61	1532.73	1455.31	1521.26	10962169	8654917632.00
2002/06/07	1522.88	1540.82	1508.43	1529.51	11445480	9337992192.00
2002/06/10	1529.34	1529.38	1511.26	1517.23	5479546	4358652416.00
2002/06/11	1515.99	1534.38	1515.75	1530.96	5805369	4781889536.00
2002/06/12	1531.75	1531.75	1513.92	1524.84	11734377	4476743680.00
2002/06/13	1524.77	1529.44	1511.22	1511.71	5775896	3907998720.00
2002/06/14	1508.64	1508.65	1493.24	1494.25	5461595	3769193728.00
2002/06/17	1489.14	1496.84	1481.25	1496.24	4482315	2917968896.00
2002/06/18	1496.83	1527.77	1496.81	1524.07	8365342	5488624640.00
2002/06/19	1523.95	1524.01	1506.43	1507.67	4434437	3031250432.00
